Ukazatel,CasM,Hodnota
Z  Mléko kravské Q. tř. j. [l],2013-01,7.898
Z  Mléko kravské Q. tř. j. [l],2013-02,7.943
Z  Mléko kravské Q. tř. j. [l],2013-03,8.056
Z  Mléko kravské Q. tř. j. [l],2013-04,8.136
Z  Mléko kravské Q. tř. j. [l],2013-05,8.21
Z  Mléko kravské Q. tř. j. [l],2013-06,8.25
Z  Mléko kravské Q. tř. j. [l],2013-07,8.306
Z  Mléko kravské Q. tř. j. [l],2013-08,8.377
Z  Mléko kravské Q. tř. j. [l],2013-09,8.5
Z  Mléko kravské Q. tř. j. [l],2013-10,8.719
Z  Mléko kravské Q. tř. j. [l],2013-11,9.045
Z  Mléko kravské Q. tř. j. [l],2013-12,9.365
Z  Mléko kravské Q. tř. j. [l],2014-01,9.567
Z  Mléko kravské Q. tř. j. [l],2014-02,9.728
Z  Mléko kravské Q. tř. j. [l],2014-03,9.795
Z  Mléko kravské Q. tř. j. [l],2014-04,9.808
Z  Mléko kravské Q. tř. j. [l],2014-05,9.78
Z  Mléko kravské Q. tř. j. [l],2014-06,9.677
Z  Mléko kravské Q. tř. j. [l],2014-07,9.55
Z  Mléko kravské Q. tř. j. [l],2014-08,9.515
Z  Mléko kravské Q. tř. j. [l],2014-09,9.331
Z  Mléko kravské Q. tř. j. [l],2014-10,9.156
Z  Mléko kravské Q. tř. j. [l],2014-11,9.085
Z  Mléko kravské Q. tř. j. [l],2014-12,9.011
Z  Mléko kravské Q. tř. j. [l],2015-01,8.952
Z  Mléko kravské Q. tř. j. [l],2015-02,8.614
Z  Mléko kravské Q. tř. j. [l],2015-03,8.478
Z  Mléko kravské Q. tř. j. [l],2015-04,8.378
Z  Mléko kravské Q. tř. j. [l],2015-05,8.24
Z  Mléko kravské Q. tř. j. [l],2015-06,7.818
Z  Mléko kravské Q. tř. j. [l],2015-07,7.528
Z  Mléko kravské Q. tř. j. [l],2015-08,7.305
Z  Mléko kravské Q. tř. j. [l],2015-09,7.141
Z  Mléko kravské Q. tř. j. [l],2015-10,7.142
Z  Mléko kravské Q. tř. j. [l],2015-11,7.314
Z  Mléko kravské Q. tř. j. [l],2015-12,7.435
Z  Mléko kravské Q. tř. j. [l],2016-01,7.497
Z  Mléko kravské Q. tř. j. [l],2016-02,7.329
Z  Mléko kravské Q. tř. j. [l],2016-03,7.07
