Month,Value
2013-01,12.55
2013-02,12.39
2013-03,12.42
2013-04,12.4
2013-05,12.5
2013-06,12.75
2013-07,12.78
2013-08,12.96
2013-09,13.4
2013-10,13.51
2013-11,13.56
2013-12,13.58
2014-01,13.67
2014-02,13.81
2014-03,13.88
2014-04,13.83
2014-05,13.82
2014-06,13.93
2014-07,13.96
2014-08,14.1
2014-09,13.79
2014-10,13.78
2014-11,13.47
2014-12,13.38
2015-01,13.64
2015-02,13.39
2015-03,13.24
2015-04,13.3
2015-05,12.88
2015-06,12.88
2015-07,12.75
2015-08,12.74
2015-09,12.4
2015-10,12.44
2015-11,12.37
2015-12,12.33
2016-01,12.32
2016-02,12.23
2016-03,11.87
2016-04,11.9
2016-05,11.43
2016-06,11.17
2016-07,10.74
2016-08,10.75
2016-09,10.76
2016-10,10.74
2016-11,10.83
2016-12,10.86
2017-01,11.08
2017-02,11.16
2017-03,11.49
2017-04,11.39
2017-05,11.39
2017-06,11.31
2017-07,11.39
2017-08,11.41
2017-09,11.62
2017-10,11.81
2017-11,11.87
2017-12,11.89
2018-01,11.92
2018-02,11.83
2018-03,11.83
2018-04,11.74
2018-05,11.81
2018-06,11.75
2018-07,11.84
2018-08,11.88
2018-09,11.83
2018-10,11.81
2018-11,11.79
2018-12,11.78
2019-01,11.91
2019-02,12.07
2019-03,12.15
2019-04,12.14
2019-05,12.19
2019-06,12.19
2019-07,12.27
2019-08,12.2
2019-09,12.17
2019-10,12.36
2019-11,12.4
2019-12,12.38
2020-01,12.18
2020-02,11.98
2020-03,12.06
2020-04,12.01
2020-05,12.02
2020-06,11.98
2020-07,11.96
2020-08,11.96
2020-09,11.98
2020-10,11.99
2020-11,11.96
2020-12,11.89
2021-01,12.04
2021-02,12.06
2021-03,12.01
2021-04,12.01
2021-05,11.99
2021-06,12.05
2021-07,11.86
2021-08,12.07
2021-09,12.23
2021-10,12.29
2021-11,12.26
2021-12,12.46
2022-01,12.98
2022-02,12.97
2022-03,13.18
2022-04,13.46
2022-05,13.8
2022-06,14.08
2022-07,14.47
2022-08,14.57
2022-09,14.74
2022-10,15.47
2022-11,16.08
2022-12,16.02
2023-01,16.47
2023-02,16.75
2023-03,16.64
2023-04,16.57
2023-05,16.51
2023-06,16.27
2023-07,15.85
2023-08,15.56
2023-09,15.39
2023-10,15.21
2023-11,15.15
2023-12,15.11
2024-01,15.25
2024-02,15.1
2024-03,15.04
2024-04,15.14
2024-05,15.08
2024-06,14.72
2024-07,14.96
2024-08,14.83
2024-09,15.12
2024-10,15.24
2024-11,15.37
2024-12,15.23
2025-01,15.88
2025-02,16.24
2025-03,16.08
2025-04,16.2
2025-05,16.27
2025-06,16.33
2025-07,16.23
2025-08,16.13
2025-09,16.53
2025-10,16.63
