Month,Value
2013-01,129.96
2013-02,127.09
2013-03,132.71
2013-04,132.34
2013-05,132.54
2013-06,133.01
2013-07,135.41
2013-08,148.27
2013-09,150.95
2013-10,150.51
2013-11,160.45
2013-12,164.34
2014-01,164.36
2014-02,165.41
2014-03,161.18
2014-04,162.36
2014-05,157.92
2014-06,146.07
2014-07,145.38
2014-08,142.93
2014-09,147.76
2014-10,145.45
2014-11,139.65
2014-12,131.2
2015-01,128.68
2015-02,129.25
2015-03,133.33
2015-04,127.13
2015-05,128.81
2015-06,126.58
2015-07,116.1
2015-08,113.28
2015-09,110.87
2015-10,109.92
2015-11,104.54
2015-12,107.51
2016-01,107.39
2016-02,106.78
2016-03,100.44
2016-04,104.32
2016-05,100.68
2016-06,92.42
2016-07,100.01
2016-08,107.45
2016-09,112.09
2016-10,120.4
2016-11,138.02
2016-12,139.89
2017-01,137.62
2017-02,137.26
2017-03,138.9
2017-04,130.88
2017-05,128.87
2017-06,133.52
2017-07,141.63
2017-08,146.93
2017-09,152.59
2017-10,156.75
2017-11,154.85
2017-12,150.53
2018-01,140.98
2018-02,142.5
2018-03,137.09
2018-04,135.04
2018-05,136.38
2018-06,139.76
2018-07,137.43
2018-08,140.91
2018-09,145.19
2018-10,156.81
2018-11,156.51
2018-12,144.73
2019-01,142.49
2019-02,139.78
2019-03,142.38
2019-04,139.72
2019-05,144.81
2019-06,142.97
2019-07,140.82
2019-08,142.08
2019-09,146.78
2019-10,148.31
2019-11,149.58
2019-12,146.57
2020-01,147.44
2020-02,153.48
2020-03,155.03
2020-04,149.87
2020-05,151.5
2020-06,152.83
2020-07,143.35
2020-08,146.18
2020-09,147.2
2020-10,150.34
2020-11,150.94
2020-12,144.97
2021-01,147.93
2021-02,153.8
2021-03,151.59
2021-04,142.48
2021-05,147.8
2021-06,154.46
2021-07,152.54
2021-08,148.21
2021-09,151.48
2021-10,154.28
2021-11,149.44
2021-12,163.15
2022-01,168.85
2022-02,172.16
2022-03,185.24
2022-04,185.49
2022-05,186.83
2022-06,198.69
2022-07,198.16
2022-08,210.58
2022-09,211.82
2022-10,211.26
2022-11,219.21
2022-12,219.36
2023-01,225.26
2023-02,220.56
2023-03,218.86
2023-04,201.31
2023-05,210.13
2023-06,190.5
2023-07,193.47
2023-08,192.08
2023-09,197.62
2023-10,188.85
2023-11,191.21
2023-12,187.99
2024-01,182.78
2024-02,188.93
2024-03,178.09
2024-04,186.68
2024-05,183.63
2024-06,189.39
2024-07,186.7
2024-08,187.77
2024-09,185.58
2024-10,193.72
2024-11,195.08
2024-12,188.29
2025-01,201.51
2025-02,201.01
2025-03,199.21
2025-04,199.74
2025-05,211.7
2025-06,199.3
2025-07,203.46
2025-08,205.74
2025-09,204.57
2025-10,200.29
