Month,Value
2013-01,19.3
2013-02,19.18
2013-03,19.28
2013-04,18.99
2013-05,18.68
2013-06,19.08
2013-07,19.21
2013-08,19.03
2013-09,19.14
2013-10,19.49
2013-11,19.49
2013-12,20.49
2014-01,19.86
2014-02,19.96
2014-03,21.07
2014-04,21.18
2014-05,21.07
2014-06,21.05
2014-07,21.14
2014-08,20.83
2014-09,20.21
2014-10,21.07
2014-11,20.9
2014-12,20.59
2015-01,20.33
2015-02,21.04
2015-03,20.8
2015-04,20.52
2015-05,20.27
2015-06,19.86
2015-07,18.62
2015-08,18.98
2015-09,19.07
2015-10,19.51
2015-11,18.55
2015-12,17.8
2016-01,19.21
2016-02,18.74
2016-03,17.53
2016-04,18.59
2016-05,17.81
2016-06,17.44
2016-07,16.86
2016-08,17.63
2016-09,17.27
2016-10,17.89
2016-11,18.32
2016-12,18.61
2017-01,18.73
2017-02,19.35
2017-03,19.04
2017-04,19.8
2017-05,18.71
2017-06,19.58
2017-07,19.45
2017-08,20.01
2017-09,19.72
2017-10,19.92
2017-11,20.47
2017-12,20.32
2018-01,20.3
2018-02,20.55
2018-03,19.44
2018-04,19.68
2018-05,19.66
2018-06,19.17
2018-07,20.19
2018-08,20.08
2018-09,20.25
2018-10,19.57
2018-11,19.45
2018-12,19.67
2019-01,19.27
2019-02,20.12
2019-03,20.22
2019-04,20.06
2019-05,20.75
2019-06,19.95
2019-07,20.24
2019-08,20.38
2019-09,20.06
2019-10,20.34
2019-11,20.55
2019-12,20.79
2020-01,19.39
2020-02,19.69
2020-03,20.07
2020-04,19.9
2020-05,20.03
2020-06,19.32
2020-07,19.26
2020-08,19.41
2020-09,18.22
2020-10,18.28
2020-11,18.36
2020-12,17.86
2021-01,17.91
2021-02,17.26
2021-03,17.69
2021-04,17.18
2021-05,17.21
2021-06,17.7
2021-07,17.58
2021-08,18.73
2021-09,18.49
2021-10,18.63
2021-11,18.92
2021-12,18.84
2022-01,19.03
2022-02,19.49
2022-03,18.39
2022-04,19.49
2022-05,19.97
2022-06,21.06
2022-07,22.16
2022-08,22.09
2022-09,22.13
2022-10,23.16
2022-11,23.24
2022-12,23.5
2023-01,24.01
2023-02,24.01
2023-03,24.48
2023-04,24.63
2023-05,24.51
2023-06,24.52
2023-07,24.15
2023-08,22.75
2023-09,22.62
2023-10,22.57
2023-11,22.63
2023-12,22.84
2024-01,21.41
2024-02,21.45
2024-03,21.67
2024-04,21.42
2024-05,21.64
2024-06,21.53
2024-07,22.48
2024-08,22.7
2024-09,23.07
2024-10,22.94
2024-11,23.88
2024-12,23.75
2025-01,24.16
2025-02,24.03
2025-03,24.04
2025-04,24.68
2025-05,24.66
2025-06,25.07
2025-07,25.12
2025-08,24.21
2025-09,24.07
2025-10,24.61
