Month,Value
2013-01,146.2
2013-02,144.24
2013-03,143.73
2013-04,143.7
2013-05,151.89
2013-06,154.0
2013-07,155.55
2013-08,155.28
2013-09,160.72
2013-10,163.8
2013-11,163.62
2013-12,164.34
2014-01,164.74
2014-02,168.8
2014-03,163.53
2014-04,160.33
2014-05,161.0
2014-06,161.2
2014-07,159.96
2014-08,158.82
2014-09,160.51
2014-10,161.28
2014-11,162.14
2014-12,159.06
2015-01,159.82
2015-02,159.31
2015-03,162.8
2015-04,160.53
2015-05,161.01
2015-06,154.76
2015-07,157.4
2015-08,151.07
2015-09,154.64
2015-10,148.2
2015-11,150.01
2015-12,142.9
2016-01,145.31
2016-02,139.88
2016-03,135.04
2016-04,138.87
2016-05,138.63
2016-06,131.88
2016-07,140.25
2016-08,144.1
2016-09,148.46
2016-10,161.13
2016-11,171.2
2016-12,171.21
2017-01,172.66
2017-02,171.72
2017-03,175.46
2017-04,168.6
2017-05,167.52
2017-06,187.47
2017-07,200.71
2017-08,209.24
2017-09,229.45
2017-10,241.78
2017-11,226.05
2017-12,217.21
2018-01,202.71
2018-02,192.66
2018-03,190.56
2018-04,183.85
2018-05,196.88
2018-06,206.09
2018-07,214.34
2018-08,216.82
2018-09,218.75
2018-10,223.34
2018-11,216.19
2018-12,204.75
2019-01,196.73
2019-02,187.56
2019-03,194.06
2019-04,180.71
2019-05,179.45
2019-06,183.87
2019-07,179.55
2019-08,182.13
2019-09,173.68
2019-10,184.61
2019-11,178.64
2019-12,174.96
2020-01,170.14
2020-02,165.67
2020-03,167.56
2020-04,159.72
2020-05,151.52
2020-06,150.9
2020-07,150.72
2020-08,151.49
2020-09,152.97
2020-10,154.71
2020-11,154.46
2020-12,151.91
2021-01,130.76
2021-02,128.5
2021-03,131.17
2021-04,129.82
2021-05,126.3
2021-06,127.45
2021-07,129.45
2021-08,139.69
2021-09,142.27
2021-10,150.21
2021-11,169.23
2021-12,168.87
2022-01,172.92
2022-02,169.35
2022-03,178.66
2022-04,178.73
2022-05,199.56
2022-06,205.64
2022-07,215.88
2022-08,223.94
2022-09,222.02
2022-10,226.13
2022-11,222.25
2022-12,213.58
2023-01,205.11
2023-02,181.36
2023-03,168.96
2023-04,166.19
2023-05,159.1
2023-06,157.0
2023-07,157.09
2023-08,155.5
2023-09,154.31
2023-10,164.18
2023-11,165.08
2023-12,170.88
2024-01,175.34
2024-02,164.54
2024-03,165.87
2024-04,162.29
2024-05,170.5
2024-06,178.62
2024-07,185.51
2024-08,195.77
2024-09,225.93
2024-10,235.38
2024-11,242.25
2024-12,250.03
2025-01,244.32
2025-02,229.68
2025-03,213.08
2025-04,209.63
2025-05,203.02
2025-06,219.66
2025-07,211.82
2025-08,215.63
2025-09,235.11
2025-10,216.15
