Month,Value
2013-01,3.55
2013-02,3.55
2013-03,3.54
2013-04,3.31
2013-05,3.01
2013-06,2.82
2013-07,2.71
2013-08,2.68
2013-09,2.66
2013-10,2.73
2013-11,2.87
2013-12,2.95
2014-01,3.02
2014-02,3.0
2014-03,3.06
2014-04,2.93
2014-05,3.02
2014-06,3.03
2014-07,2.98
2014-08,3.07
2014-09,3.01
2014-10,3.16
2014-11,3.34
2014-12,3.3
2015-01,3.34
2015-02,3.27
2015-03,3.36
2015-04,3.23
2015-05,3.33
2015-06,3.11
2015-07,3.12
2015-08,2.9
2015-09,2.89
2015-10,2.91
2015-11,2.98
2015-12,2.96
2016-01,2.98
2016-02,2.95
2016-03,2.86
2016-04,2.89
2016-05,2.86
2016-06,2.67
2016-07,2.75
2016-08,2.494
2016-09,2.58
2016-10,2.69
2016-11,3.16
2016-12,3.29
2017-01,3.41
2017-02,3.38
2017-03,3.29
2017-04,3.36
2017-05,3.27
2017-06,3.25
2017-07,3.42
2017-08,3.29
2017-09,3.22
2017-10,3.62
2017-11,5.0
2017-12,5.0
2018-01,4.65
2018-02,4.19
2018-03,3.78
2018-04,3.8
2018-05,3.7
2018-06,3.88
2018-07,3.7
2018-08,3.63
2018-09,3.8
2018-10,3.6
2018-11,3.72
2018-12,3.61
2019-01,3.38
2019-02,3.35
2019-03,3.23
2019-04,3.17
2019-05,3.17
2019-06,3.06
2019-07,2.99
2019-08,2.98
2019-09,3.02
2019-10,3.04
2019-11,3.14
2019-12,3.15
2020-01,3.09
2020-02,2.98
2020-03,2.96
2020-04,2.87
2020-05,3.01
2020-06,2.97
2020-07,2.95
2020-08,2.88
2020-09,2.68
2020-10,2.54
2020-11,2.77
2020-12,2.7
2021-01,2.72
2021-02,2.44
2021-03,2.56
2021-04,2.44
2021-05,2.37
2021-06,2.7
2021-07,2.52
2021-08,2.69
2021-09,2.48
2021-10,2.64
2021-11,2.6
2021-12,2.53
2022-01,2.94
2022-02,2.82
2022-03,2.94
2022-04,3.01
2022-05,3.34
2022-06,3.45
2022-07,3.37
2022-08,3.59
2022-09,3.55
2022-10,4.5
2022-11,4.89
2022-12,5.1
2023-01,5.65
2023-02,5.63
2023-03,5.04
2023-04,4.34
2023-05,4.68
2023-06,4.7
2023-07,4.55
2023-08,4.14
2023-09,3.73
2023-10,4.04
2023-11,3.62
2023-12,3.71
2024-01,4.03
2024-02,3.78
2024-03,3.61
2024-04,3.58
2024-05,3.47
2024-06,3.37
2024-07,3.57
2024-08,3.24
2024-09,3.48
2024-10,3.69
2024-11,4.76
2024-12,4.8
2025-01,4.8
2025-02,4.87
2025-03,5.21
2025-04,4.97
2025-05,5.11
2025-06,4.99
2025-07,4.58
2025-08,4.63
2025-09,4.64
2025-10,4.81
