Month,Value
2013-01,95.77
2013-02,95.42
2013-03,96.49
2013-04,94.95
2013-05,96.31
2013-06,96.67
2013-07,96.57
2013-08,98.75
2013-09,103.48
2013-10,106.84
2013-11,111.57
2013-12,112.61
2014-01,114.09
2014-02,113.06
2014-03,114.24
2014-04,113.6
2014-05,114.89
2014-06,108.54
2014-07,99.98
2014-08,100.51
2014-09,101.96
2014-10,95.95
2014-11,94.25
2014-12,89.15
2015-01,84.99
2015-02,82.46
2015-03,81.07
2015-04,81.08
2015-05,83.39
2015-06,81.83
2015-07,76.84
2015-08,75.48
2015-09,76.24
2015-10,75.26
2015-11,73.78
2015-12,72.79
2016-01,73.09
2016-02,70.54
2016-03,66.25
2016-04,63.31
2016-05,59.54
2016-06,58.85
2016-07,59.75
2016-08,65.46
2016-09,67.78
2016-10,78.04
2016-11,86.43
2016-12,91.32
2017-01,88.55
2017-02,86.38
2017-03,85.53
2017-04,83.17
2017-05,81.52
2017-06,84.54
2017-07,89.27
2017-08,93.66
2017-09,95.31
2017-10,93.8
2017-11,87.52
2017-12,80.52
2018-01,70.87
2018-02,69.01
2018-03,70.54
2018-04,71.3
2018-05,73.15
2018-06,73.73
2018-07,75.32
2018-08,76.9
2018-09,79.38
2018-10,83.12
2018-11,86.49
2018-12,84.27
2019-01,81.93
2019-02,80.64
2019-03,80.73
2019-04,80.55
2019-05,78.22
2019-06,77.93
2019-07,78.13
2019-08,78.72
2019-09,80.02
2019-10,83.31
2019-11,82.85
2019-12,81.92
2020-01,82.15
2020-02,81.27
2020-03,81.01
2020-04,80.26
2020-05,76.86
2020-06,73.36
2020-07,75.53
2020-08,78.58
2020-09,80.56
2020-10,81.67
2020-11,83.06
2020-12,82.09
2021-01,79.75
2021-02,80.1
2021-03,79.07
2021-04,79.49
2021-05,81.47
2021-06,81.9
2021-07,83.47
2021-08,83.68
2021-09,84.13
2021-10,85.65
2021-11,90.25
2021-12,95.67
2022-01,98.05
2022-02,101.35
2022-03,103.46
2022-04,108.85
2022-05,117.55
2022-06,120.27
2022-07,122.47
2022-08,123.74
2022-09,127.53
2022-10,126.97
2022-11,126.62
2022-12,126.15
2023-01,117.12
2023-02,100.15
2023-03,94.82
2023-04,91.2
2023-05,90.69
2023-06,87.74
2023-07,87.44
2023-08,84.91
2023-09,87.08
2023-10,90.47
2023-11,92.51
2023-12,95.0
2024-01,97.96
2024-02,100.98
2024-03,100.98
2024-04,98.23
2024-05,97.81
2024-06,97.11
2024-07,97.83
2024-08,98.52
2024-09,103.62
2024-10,117.15
2024-11,121.62
2024-12,122.37
2025-01,123.61
2025-02,119.48
2025-03,117.88
2025-04,116.91
2025-05,115.89
2025-06,115.65
2025-07,116.62
2025-08,114.13
2025-09,110.79
2025-10,105.35
