Month,Value
2013-01,97.21
2013-02,95.1
2013-03,96.61
2013-04,94.91
2013-05,96.3
2013-06,102.84
2013-07,107.26
2013-08,107.35
2013-09,111.04
2013-10,115.54
2013-11,115.69
2013-12,115.11
2014-01,118.15
2014-02,116.43
2014-03,114.92
2014-04,110.91
2014-05,111.6
2014-06,106.31
2014-07,109.0
2014-08,107.41
2014-09,104.05
2014-10,100.33
2014-11,101.92
2014-12,102.18
2015-01,99.76
2015-02,98.44
2015-03,100.22
2015-04,103.82
2015-05,94.13
2015-06,95.7
2015-07,93.48
2015-08,95.07
2015-09,95.44
2015-10,94.23
2015-11,97.59
2015-12,98.41
2016-01,98.26
2016-02,95.77
2016-03,93.77
2016-04,92.19
2016-05,81.68
2016-06,80.98
2016-07,82.79
2016-08,88.96
2016-09,95.07
2016-10,102.06
2016-11,110.97
2016-12,114.81
2017-01,117.47
2017-02,115.42
2017-03,116.85
2017-04,117.86
2017-05,118.45
2017-06,122.74
2017-07,131.15
2017-08,145.17
2017-09,152.45
2017-10,174.95
2017-11,167.77
2017-12,155.64
2018-01,139.94
2018-02,130.48
2018-03,128.28
2018-04,131.0
2018-05,136.79
2018-06,152.52
2018-07,159.67
2018-08,158.85
2018-09,159.5
2018-10,162.5
2018-11,158.47
2018-12,152.23
2019-01,140.07
2019-02,134.62
2019-03,127.14
2019-04,123.91
2019-05,124.35
2019-06,121.73
2019-07,119.59
2019-08,119.8
2019-09,121.85
2019-10,125.93
2019-11,131.29
2019-12,130.85
2020-01,127.14
2020-02,121.92
2020-03,121.99
2020-04,120.02
2020-05,109.32
2020-06,106.25
2020-07,111.43
2020-08,115.8
2020-09,122.1
2020-10,126.58
2020-11,129.17
2020-12,129.02
2021-01,125.0
2021-02,122.5
2021-03,122.21
2021-04,122.71
2021-05,124.97
2021-06,124.88
2021-07,125.9
2021-08,127.44
2021-09,131.03
2021-10,136.88
2021-11,149.28
2021-12,154.4
2022-01,156.86
2022-02,155.91
2022-03,156.28
2022-04,160.75
2022-05,172.69
2022-06,178.47
2022-07,184.01
2022-08,187.61
2022-09,190.42
2022-10,195.73
2022-11,198.48
2022-12,198.72
2023-01,186.0
2023-02,167.51
2023-03,152.08
2023-04,141.77
2023-05,134.36
2023-06,134.7
2023-07,135.56
2023-08,135.76
2023-09,136.39
2023-10,144.04
2023-11,155.35
2023-12,162.52
2024-01,163.73
2024-02,161.86
2024-03,162.35
2024-04,163.53
2024-05,162.18
2024-06,163.13
2024-07,166.23
2024-08,176.55
2024-09,192.35
2024-10,206.54
2024-11,224.56
2024-12,239.1
2025-01,232.07
2025-02,222.37
2025-03,212.22
2025-04,208.6
2025-05,205.13
2025-06,202.01
2025-07,202.11
2025-08,203.56
2025-09,204.88
2025-10,198.83
