Month,Value
2013-01,7.898
2013-02,7.943
2013-03,8.056
2013-04,8.136
2013-05,8.21
2013-06,8.25
2013-07,8.306
2013-08,8.377
2013-09,8.5
2013-10,8.719
2013-11,9.045
2013-12,9.365
2014-01,9.567
2014-02,9.728
2014-03,9.795
2014-04,9.808
2014-05,9.78
2014-06,9.677
2014-07,9.55
2014-08,9.515
2014-09,9.331
2014-10,9.156
2014-11,9.085
2014-12,9.011
2015-01,8.952
2015-02,8.614
2015-03,8.478
2015-04,8.378
2015-05,8.24
2015-06,7.818
2015-07,7.528
2015-08,7.305
2015-09,7.141
2015-10,7.142
2015-11,7.314
2015-12,7.435
2016-01,7.497
2016-02,7.329
2016-03,7.07
2016-04,6.829
2016-05,6.588
2016-06,6.268
2016-07,6.139
2016-08,6.119
2016-09,6.202
2016-10,6.435
2016-11,6.799
2016-12,7.23
2017-01,7.633
2017-02,7.841
2017-03,8.067
2017-04,8.197
2017-05,8.297
2017-06,8.344
2017-07,8.41
2017-08,8.48
2017-09,8.635
2017-10,8.878
2017-11,9.145
2017-12,9.312
2018-01,9.371
2018-02,9.053
2018-03,8.84
2018-04,8.6
2018-05,8.38
2018-06,8.227
2018-07,8.192
2018-08,8.228
2018-09,8.275
2018-10,8.46
2018-11,8.773
2018-12,9.023
2019-01,9.154
2019-02,9.107
2019-03,9.054
2019-04,8.99
2019-05,8.928
2019-06,8.856
2019-07,8.692
2019-08,8.6
2019-09,8.558
2019-10,8.624
2019-11,8.766
2019-12,8.894
2020-01,8.95
2020-02,8.9
2020-03,8.83
2020-04,8.774
2020-05,8.644
2020-06,8.333
2020-07,8.272
2020-08,8.226
2020-09,8.213
2020-10,8.31
2020-11,8.52
2020-12,8.718
2021-01,8.789
2021-02,8.755
2021-03,8.788
2021-04,8.819
2021-05,8.838
2021-06,8.864
2021-07,8.878
2021-08,8.856
2021-09,8.923
2021-10,9.042
2021-11,9.314
2021-12,9.617
2022-01,9.84
2022-02,9.96
2022-03,10.23
2022-04,10.44
2022-05,10.77
2022-06,11.06
2022-07,11.29
2022-08,11.55
2022-09,11.81
2022-10,12.17
2022-11,12.61
2022-12,13.12
2023-01,13.41
2023-02,13.29
2023-03,12.81
2023-04,12.21
2023-05,11.57
2023-06,11.01
2023-07,10.43
2023-08,10.03
2023-09,9.91
2023-10,9.98
2023-11,10.29
2023-12,10.56
2024-01,10.85
2024-02,10.9
2024-03,10.96
2024-04,10.98
2024-05,11.08
2024-06,11.08
2024-07,11.13
2024-08,11.16
2024-09,11.28
2024-10,11.56
2024-11,12.01
2024-12,12.74
2025-01,12.75
2025-02,12.84
2025-03,12.99
2025-04,13.13
2025-05,13.23
2025-06,13.29
2025-07,13.32
2025-08,13.38
2025-09,13.5
2025-10,13.51
