Month,Value
2013-01,2.168
2013-02,2.102
2013-03,2.025
2013-04,1.854
2013-05,1.677
2013-06,1.557
2013-07,1.568
2013-08,1.517
2013-09,1.533
2013-10,1.665
2013-11,1.776
2013-12,1.824
2014-01,1.866
2014-02,1.858
2014-03,1.875
2014-04,1.875
2014-05,1.777
2014-06,1.662
2014-07,1.661
2014-08,1.694
2014-09,1.746
2014-10,1.953
2014-11,2.029
2014-12,2.088
2015-01,2.08
2015-02,2.011
2015-03,1.975
2015-04,1.851
2015-05,1.724
2015-06,1.72
2015-07,1.754
2015-08,1.83
2015-09,1.812
2015-10,1.926
2015-11,1.957
2015-12,1.973
2016-01,1.922
2016-02,1.795
2016-03,1.8
2016-04,1.739
2016-05,1.605
2016-06,1.488
2016-07,1.467
2016-08,1.402
2016-09,1.593
2016-10,1.656
2016-11,1.72
2016-12,1.89
2017-01,1.936
2017-02,1.934
2017-03,1.983
2017-04,1.955
2017-05,1.859
2017-06,1.803
2017-07,1.704
2017-08,1.706
2017-09,1.809
2017-10,2.054
2017-11,2.907
2017-12,3.033
2018-01,2.579
2018-02,1.97
2018-03,1.935
2018-04,1.82
2018-05,1.763
2018-06,1.686
2018-07,1.7
2018-08,1.735
2018-09,1.761
2018-10,1.75
2018-11,1.781
2018-12,1.824
2019-01,1.821
2019-02,1.723
2019-03,1.773
2019-04,1.783
2019-05,1.7
2019-06,1.683
2019-07,1.601
2019-08,1.59
2019-09,1.643
2019-10,1.753
2019-11,1.849
2019-12,1.938
2020-01,1.864
2020-02,1.86
2020-03,1.881
2020-04,1.867
2020-05,1.8
2020-06,1.754
2020-07,1.781
2020-08,1.71
2020-09,1.708
2020-10,1.752
2020-11,1.826
2020-12,1.876
2021-01,1.906
2021-02,1.892
2021-03,1.906
2021-04,1.911
2021-05,1.912
2021-06,1.845
2021-07,1.719
2021-08,1.689
2021-09,1.728
2021-10,1.837
2021-11,1.898
2021-12,1.9
2022-01,1.94
2022-02,1.99
2022-03,2.04
2022-04,2.22
2022-05,2.25
2022-06,2.27
2022-07,2.21
2022-08,2.2
2022-09,2.36
2022-10,2.61
2022-11,3.01
2022-12,3.29
2023-01,3.55
2023-02,3.69
2023-03,3.69
2023-04,3.48
2023-05,3.12
2023-06,2.97
2023-07,2.82
2023-08,2.62
2023-09,2.62
2023-10,2.63
2023-11,2.62
2023-12,2.7
2024-01,2.76
2024-02,2.69
2024-03,2.74
2024-04,2.76
2024-05,2.58
2024-06,2.45
2024-07,2.31
2024-08,2.27
2024-09,2.34
2024-10,2.4
2024-11,2.93
2024-12,3.43
2025-01,3.43
2025-02,3.29
2025-03,3.52
2025-04,3.94
2025-05,3.7
2025-06,3.41
2025-07,3.3
2025-08,3.29
2025-09,3.34
2025-10,3.56
