Month,Value
2013-01,7.79982
2013-02,8.24306
2013-03,8.26663
2013-04,8.24453
2013-05,8.1563
2013-06,8.05336
2013-07,8.05348
2013-08,7.87515
2013-09,7.62188
2013-10,7.23829
2013-11,7.07147
2013-12,7.10673
2014-01,7.09581
2014-02,6.76319
2014-03,6.73299
2014-04,6.70632
2014-05,6.77538
2014-06,6.82326
2014-07,6.82
2014-08,6.63254
2014-09,6.47465
2014-10,6.38498
2014-11,6.32933
2014-12,6.25729
2015-01,6.21058
2015-02,6.33791
2015-03,6.40486
2015-04,6.364
2015-05,6.34769
2015-06,6.40859
2015-07,6.32489
2015-08,6.31502
2015-09,6.39077
2015-10,6.20849
2015-11,6.08801
2015-12,6.19127
2016-01,6.16106
2016-02,6.05931
2016-03,6.02939
2016-04,5.89955
2016-05,5.84654
2016-06,5.80758
2016-07,5.87455
2016-08,5.91473
2016-09,5.8636
2016-10,5.81051
2016-11,5.71496
2016-12,5.6636
2017-01,5.61817
2017-02,5.62025
2017-03,5.65634
2017-04,5.65833
2017-05,5.67561
2017-06,5.6405
2017-07,5.64611
2017-08,5.63271
2017-09,5.64535
2017-10,5.59869
2017-11,5.6676
2017-12,5.69418
2018-01,5.70231
2018-02,5.69851
2018-03,5.70143
2018-04,5.67759
2018-05,5.68
2018-06,5.69399
2018-07,5.755
2018-08,5.86143
2018-09,5.95186
2018-10,6.36
2018-11,6.49
2018-12,6.51
2019-01,6.48
2019-02,6.55
2019-03,6.57
2019-04,6.47
2019-05,6.47
2019-06,6.47
2019-07,6.42
2019-08,6.41
2019-09,6.25
2019-10,6.01
2019-11,5.83
2019-12,5.7
2020-01,5.59
2020-02,5.49
2020-03,5.39
2020-04,5.41
2020-05,5.42
2020-06,5.54
2020-07,5.54
2020-08,5.57
2020-09,5.55
2020-10,5.53
2020-11,5.59
2020-12,5.66
2021-01,5.82
2021-02,5.89
2021-03,6.23
2021-04,6.35
2021-05,6.4
2021-06,6.62
2021-07,6.65
2021-08,6.68
2021-09,6.65
2021-10,6.91
2021-11,7.12
2021-12,7.32
2022-01,7.76
2022-02,8.29
2022-03,8.83
2022-04,9.76
2022-05,10.83
2022-06,11.34
2022-07,11.49
2022-08,11.35
2022-09,11.7
2022-10,11.84
2022-11,11.53
2022-12,11.41
2023-01,10.82
2023-02,10.65
2023-03,10.42
2023-04,10.28
2023-05,9.25
2023-06,8.89
2023-07,8.8
2023-08,8.69
2023-09,8.36
2023-10,8.04
2023-11,8.21
2023-12,7.98
2024-01,8.02
2024-02,7.92
2024-03,7.61
2024-04,7.55
2024-05,7.47
2024-06,7.24
2024-07,7.24
2024-08,7.18
2024-09,7.2
2024-10,7.2
2024-11,7.3
2024-12,7.25
2025-01,7.3
2025-02,7.31
2025-03,7.51
2025-04,7.61
2025-05,7.72
2025-06,7.74
2025-07,7.78
2025-08,7.83
2025-09,7.83
2025-10,7.86
