Month,Value
2013-01,9.34326
2013-02,9.48771
2013-03,9.35757
2013-04,9.5776
2013-05,9.31945
2013-06,9.34208
2013-07,9.44983
2013-08,9.34266
2013-09,8.46197
2013-10,8.24553
2013-11,8.34089
2013-12,8.12958
2014-01,8.14028
2014-02,8.3088
2014-03,8.064
2014-04,8.21733
2014-05,8.34465
2014-06,7.94541
2014-07,8.19924
2014-08,8.06446
2014-09,8.28437
2014-10,8.27479
2014-11,7.92813
2014-12,8.18179
2015-01,8.34868
2015-02,8.02055
2015-03,8.28019
2015-04,8.0032
2015-05,7.98848
2015-06,7.84209
2015-07,7.92288
2015-08,7.75612
2015-09,7.96615
2015-10,7.76435
2015-11,7.44595
2015-12,7.3032
2016-01,7.52769
2016-02,7.40873
2016-03,7.54051
2016-04,7.35386
2016-05,7.43735
2016-06,7.34578
2016-07,7.23619
2016-08,7.24617
2016-09,7.12845
2016-10,7.14333
2016-11,7.18721
2016-12,7.03661
2017-01,7.04483
2017-02,7.13985
2017-03,6.90635
2017-04,7.02251
2017-05,7.02822
2017-06,6.98791
2017-07,7.0461
2017-08,6.99048
2017-09,7.05365
2017-10,6.97195
2017-11,7.03917
2017-12,7.12022
2018-01,7.09011
2018-02,7.12259
2018-03,7.04637
2018-04,7.01735
2018-05,7.07177
2018-06,6.97155
2018-07,6.97553
2018-08,7.00099
2018-09,6.98701
2018-10,7.22
2018-11,7.28
2018-12,7.45
2019-01,7.54
2019-02,7.66
2019-03,7.69
2019-04,7.62
2019-05,7.6
2019-06,7.67
2019-07,7.49
2019-08,7.48
2019-09,7.52
2019-10,7.4
2019-11,7.46
2019-12,7.45
2020-01,7.5
2020-02,7.47
2020-03,7.41
2020-04,7.46
2020-05,7.47
2020-06,7.42
2020-07,7.43
2020-08,7.37
2020-09,7.36
2020-10,7.29
2020-11,7.3
2020-12,7.25
2021-01,7.51
2021-02,7.47
2021-03,7.46
2021-04,7.55
2021-05,7.64
2021-06,7.66
2021-07,7.69
2021-08,7.68
2021-09,7.56
2021-10,7.7
2021-11,8.03
2021-12,8.28
2022-01,8.63
2022-02,9.05
2022-03,9.47
2022-04,10.24
2022-05,11.1
2022-06,11.43
2022-07,11.74
2022-08,11.86
2022-09,12.14
2022-10,12.34
2022-11,13.13
2022-12,13.36
2023-01,13.14
2023-02,13.26
2023-03,13.57
2023-04,13.57
2023-05,13.34
2023-06,13.17
2023-07,13.12
2023-08,12.96
2023-09,12.64
2023-10,12.2
2023-11,11.88
2023-12,11.67
2024-01,11.52
2024-02,11.47
2024-03,11.41
2024-04,11.21
2024-05,10.89
2024-06,10.81
2024-07,10.66
2024-08,10.77
2024-09,10.66
2024-10,10.72
2024-11,10.5
2024-12,10.36
2025-01,10.44
2025-02,10.53
2025-03,10.56
2025-04,10.49
2025-05,10.41
2025-06,10.45
2025-07,10.44
2025-08,10.44
2025-09,10.49
2025-10,10.42
