Month,Value
2013-01,13.33
2013-02,13.36
2013-03,13.48
2013-04,13.6
2013-05,13.68
2013-06,13.52
2013-07,13.14
2013-08,13.73
2013-09,13.52
2013-10,13.32
2013-11,13.07
2013-12,12.71
2014-01,13.37
2014-02,13.14
2014-03,13.39
2014-04,13.22
2014-05,12.8
2014-06,13.4
2014-07,13.11
2014-08,13.31
2014-09,13.42
2014-10,13.25
2014-11,13.27
2014-12,12.47
2015-01,12.75
2015-02,13.25
2015-03,13.33
2015-04,13.27
2015-05,12.88
2015-06,13.47
2015-07,12.89
2015-08,12.62
2015-09,12.13
2015-10,12.36
2015-11,11.41
2015-12,11.3
2016-01,11.36
2016-02,10.91
2016-03,11.19
2016-04,11.48
2016-05,11.22
2016-06,11.48
2016-07,11.4
2016-08,10.73
2016-09,11.39
2016-10,11.02
2016-11,10.74
2016-12,10.22
2017-01,11.43
2017-02,11.71
2017-03,11.16
2017-04,10.99
2017-05,11.39
2017-06,11.07
2017-07,11.3
2017-08,11.31
2017-09,11.68
2017-10,12.04
2017-11,11.77
2017-12,11.69
2018-01,11.88
2018-02,12.0
2018-03,11.87
2018-04,12.04
2018-05,11.31
2018-06,10.89
2018-07,11.59
2018-08,11.25
2018-09,11.47
2018-10,11.22
2018-11,10.85
2018-12,11.07
2019-01,11.41
2019-02,12.23
2019-03,12.37
2019-04,11.19
2019-05,11.39
2019-06,11.62
2019-07,11.44
2019-08,11.97
2019-09,12.11
2019-10,11.66
2019-11,12.25
2019-12,11.77
2020-01,11.86
2020-02,11.94
2020-03,12.35
2020-04,12.97
2020-05,12.82
2020-06,12.72
2020-07,12.21
2020-08,12.61
2020-09,12.38
2020-10,11.99
2020-11,12.05
2020-12,12.16
2021-01,12.11
2021-02,12.02
2021-03,11.96
2021-04,12.62
2021-05,12.51
2021-06,12.69
2021-07,12.7
2021-08,12.62
2021-09,12.09
2021-10,12.41
2021-11,12.95
2021-12,14.41
2022-01,15.0
2022-02,15.96
2022-03,16.31
2022-04,20.59
2022-05,22.2
2022-06,22.72
2022-07,22.1
2022-08,22.21
2022-09,21.21
2022-10,20.49
2022-11,20.06
2022-12,21.6
2023-01,22.16
2023-02,21.86
2023-03,22.38
2023-04,22.1
2023-05,22.14
2023-06,20.54
2023-07,19.39
2023-08,18.58
2023-09,17.58
2023-10,17.58
2023-11,16.94
2023-12,16.5
2024-01,16.04
2024-02,16.27
2024-03,15.11
2024-04,17.14
2024-05,17.23
2024-06,15.89
2024-07,16.13
2024-08,16.04
2024-09,15.52
2024-10,14.88
2024-11,14.7
2024-12,14.38
2025-01,15.28
2025-02,14.92
2025-03,14.7
2025-04,13.77
2025-05,15.01
2025-06,15.05
2025-07,14.47
2025-08,15.16
2025-09,15.0
2025-10,14.33
