Month,Value
2013-01,6.033
2013-02,6.116
2013-03,6.117
2013-04,6.019
2013-05,5.972
2013-06,5.847
2013-07,5.656
2013-08,4.424
2013-09,4.216
2013-10,4.273
2013-11,4.343
2013-12,4.436
2014-01,4.555
2014-02,4.585
2014-03,4.599
2014-04,4.671
2014-05,4.778
2014-06,4.789
2014-07,4.608
2014-08,4.353
2014-09,4.335
2014-10,4.197
2014-11,4.159
2014-12,4.163
2015-01,4.24
2015-02,4.412
2015-03,4.445
2015-04,4.454
2015-05,4.423
2015-06,4.382
2015-07,4.33
2015-08,4.286
2015-09,4.258
2015-10,4.213
2015-11,4.208
2015-12,4.205
2016-01,4.131
2016-02,4.061
2016-03,3.912
2016-04,3.711
2016-05,3.614
2016-06,3.631
2016-07,3.589
2016-08,3.539
2016-09,3.548
2016-10,3.563
2016-11,3.55
2016-12,3.59
2017-01,3.594
2017-02,3.673
2017-03,3.774
2017-04,3.814
2017-05,3.853
2017-06,3.881
2017-07,3.884
2017-08,3.847
2017-09,3.829
2017-10,3.918
2017-11,3.899
2017-12,3.877
2018-01,3.858
2018-02,3.86
2018-03,3.874
2018-04,3.9
2018-05,3.912
2018-06,3.922
2018-07,3.917
2018-08,4.05
2018-09,4.347
2018-10,4.47
2018-11,4.479
2018-12,4.559
2019-01,4.6
2019-02,4.661
2019-03,4.707
2019-04,4.614
2019-05,4.588
2019-06,4.525
2019-07,4.363
2019-08,4.09
2019-09,4.089
2019-10,3.982
2019-11,3.978
2019-12,3.949
2020-01,3.969
2020-02,4.0
2020-03,4.066
2020-04,4.123
2020-05,4.252
2020-06,4.344
2020-07,4.221
2020-08,4.129
2020-09,4.119
2020-10,4.2
2020-11,4.272
2020-12,4.374
2021-01,4.486
2021-02,4.623
2021-03,4.809
2021-04,4.916
2021-05,4.959
2021-06,4.95
2021-07,4.997
2021-08,4.821
2021-09,4.982
2021-10,5.249
2021-11,5.605
2021-12,5.883
2022-01,6.13
2022-02,6.32
2022-03,6.89
2022-04,7.65
2022-05,8.33
2022-06,8.65
2022-07,8.27
2022-08,7.82
2022-09,7.75
2022-10,7.82
2022-11,7.91
2022-12,7.72
2023-01,7.53
2023-02,7.22
2023-03,6.79
2023-04,6.3
2023-05,5.77
2023-06,5.63
2023-07,5.4
2023-08,5.05
2023-09,5.09
2023-10,5.09
2023-11,5.14
2023-12,4.9
2024-01,4.8
2024-02,4.81
2024-03,4.68
2024-04,4.71
2024-05,4.53
2024-06,4.5
2024-07,4.6
2024-08,4.78
2024-09,4.79
2024-10,4.96
2024-11,5.01
2024-12,5.08
2025-01,5.23
2025-02,5.28
2025-03,5.39
2025-04,5.38
2025-05,5.33
2025-06,5.38
2025-07,5.25
2025-08,4.89
2025-09,4.68
2025-10,4.55
