Month,P  eidamská cihla [kg]_timeseries,P  mléko polotučné [l]_timeseries,P  máslo [kg]_timeseries,S  eidamská cihla [kg]_timeseries,S  mléko polotučné pasterované [l]_timeseries,S  máslo [kg]_timeseries,Z  mléko kravské q. tř. j. [l]_timeseries,dairyIndex
2013-01-01,95.77,12.55,97.21,129.96,19.3,146.2,7.898,72.69828571428572
2013-02-01,95.42,12.39,95.1,127.09,19.18,144.24,7.943,71.62328571428571
2013-03-01,96.49,12.42,96.61,132.71,19.28,143.73,8.056,72.75657142857143
2013-04-01,94.95,12.4,94.91,132.34,18.99,143.7,8.136,72.2037142857143
2013-05-01,96.31,12.5,96.3,132.54,18.68,151.89,8.21,73.77571428571427
2013-06-01,96.67,12.75,102.84,133.01,19.08,154.0,8.25,75.22857142857141
2013-07-01,96.57,12.78,107.26,135.41,19.21,155.55,8.306,76.44085714285714
2013-08-01,98.75,12.96,107.35,148.27,19.03,155.28,8.377,78.57385714285714
2013-09-01,103.48,13.4,111.04,150.95,19.14,160.72,8.5,81.03285714285714
2013-10-01,106.84,13.51,115.54,150.51,19.49,163.8,8.719,82.62985714285716
2013-11-01,111.57,13.56,115.69,160.45,19.49,163.62,9.045,84.77499999999999
2013-12-01,112.61,13.58,115.11,164.34,20.49,164.34,9.365,85.6907142857143
2014-01-01,114.09,13.67,118.15,164.36,19.86,164.74,9.567,86.34814285714288
2014-02-01,113.06,13.81,116.43,165.41,19.96,168.8,9.728,86.74257142857142
2014-03-01,114.24,13.88,114.92,161.18,21.07,163.53,9.795,85.51642857142858
2014-04-01,113.6,13.83,110.91,162.36,21.18,160.33,9.808,84.574
2014-05-01,114.89,13.82,111.6,157.92,21.07,161.0,9.78,84.29714285714284
2014-06-01,108.54,13.93,106.31,146.07,21.05,161.2,9.677,80.96814285714287
2014-07-01,99.98,13.96,109.0,145.38,21.14,159.96,9.55,79.85285714285713
2014-08-01,100.51,14.1,107.41,142.93,20.83,158.82,9.515,79.1592857142857
2014-09-01,101.96,13.79,104.05,147.76,20.21,160.51,9.331,79.65871428571428
2014-10-01,95.95,13.78,100.33,145.45,21.07,161.28,9.156,78.14514285714286
2014-11-01,94.25,13.47,101.92,139.65,20.9,162.14,9.085,77.345
2014-12-01,89.15,13.38,102.18,131.2,20.59,159.06,9.011,74.93871428571427
2015-01-01,84.99,13.64,99.76,128.68,20.33,159.82,8.952,73.73885714285714
2015-02-01,82.46,13.39,98.44,129.25,21.04,159.31,8.614,73.21485714285714
2015-03-01,81.07,13.24,100.22,133.33,20.8,162.8,8.478,74.27685714285714
2015-04-01,81.08,13.3,103.82,127.13,20.52,160.53,8.378,73.53685714285714
2015-05-01,83.39,12.88,94.13,128.81,20.27,161.01,8.24,72.67571428571428
2015-06-01,81.83,12.88,95.7,126.58,19.86,154.76,7.818,71.34685714285715
2015-07-01,76.84,12.75,93.48,116.1,18.62,157.4,7.528,68.95971428571428
2015-08-01,75.48,12.74,95.07,113.28,18.98,151.07,7.305,67.70357142857144
2015-09-01,76.24,12.4,95.44,110.87,19.07,154.64,7.141,67.97157142857142
2015-10-01,75.26,12.44,94.23,109.92,19.51,148.2,7.142,66.67171428571429
2015-11-01,73.78,12.37,97.59,104.54,18.55,150.01,7.314,66.3077142857143
2015-12-01,72.79,12.33,98.41,107.51,17.8,142.9,7.435,65.59642857142858
2016-01-01,73.09,12.32,98.26,107.39,19.21,145.31,7.497,66.15385714285715
2016-02-01,70.54,12.23,95.77,106.78,18.74,139.88,7.329,64.46700000000001
2016-03-01,66.25,11.87,93.77,100.44,17.53,135.04,7.07,61.709999999999994
2016-04-01,63.31,11.9,92.19,104.32,18.59,138.87,6.829,62.287
2016-05-01,59.54,11.43,81.68,100.68,17.81,138.63,6.588,59.47971428571429
2016-06-01,58.85,11.17,80.98,92.42,17.44,131.88,6.268,57.00114285714285
2016-07-01,59.75,10.74,82.79,100.01,16.86,140.25,6.139,59.505571428571436
