Month,P  pšeničná mouka chlebová [kg]_timeseries,P  pšeničná mouka hladká 00 extra [kg]_timeseries,S  pšeničná mouka hladká [kg]_timeseries,Z  pšenice potravinářská [kg]_timeseries,flourIndex
2013-01-01,7.79982,9.34326,13.33,6.033,9.126520000000001
2013-02-01,8.24306,9.48771,13.36,6.116,9.3016925
2013-03-01,8.26663,9.35757,13.48,6.117,9.3053
2013-04-01,8.24453,9.5776,13.6,6.019,9.3602825
2013-05-01,8.1563,9.31945,13.68,5.972,9.2819375
2013-06-01,8.05336,9.34208,13.52,5.847,9.19061
2013-07-01,8.05348,9.44983,13.14,5.656,9.0748275
2013-08-01,7.87515,9.34266,13.73,4.424,8.8429525
2013-09-01,7.62188,8.46197,13.52,4.216,8.4549625
2013-10-01,7.23829,8.24553,13.32,4.273,8.269205
2013-11-01,7.07147,8.34089,13.07,4.343,8.20634
2013-12-01,7.10673,8.12958,12.71,4.436,8.095577500000001
2014-01-01,7.09581,8.14028,13.37,4.555,8.2902725
2014-02-01,6.76319,8.3088,13.14,4.585,8.1992475
2014-03-01,6.73299,8.064,13.39,4.599,8.1964975
2014-04-01,6.70632,8.21733,13.22,4.671,8.2036625
2014-05-01,6.77538,8.34465,12.8,4.778,8.1745075
2014-06-01,6.82326,7.94541,13.4,4.789,8.2394175
2014-07-01,6.82,8.19924,13.11,4.608,8.18431
2014-08-01,6.63254,8.06446,13.31,4.353,8.09
2014-09-01,6.47465,8.28437,13.42,4.335,8.128505
2014-10-01,6.38498,8.27479,13.25,4.197,8.0266925
2014-11-01,6.32933,7.92813,13.27,4.159,7.921614999999999
2014-12-01,6.25729,8.18179,12.47,4.163,7.768020000000001
2015-01-01,6.21058,8.34868,12.75,4.24,7.887315000000001
2015-02-01,6.33791,8.02055,13.25,4.412,8.005115
2015-03-01,6.40486,8.28019,13.33,4.445,8.1150125
2015-04-01,6.364,8.0032,13.27,4.454,8.0228
2015-05-01,6.34769,7.98848,12.88,4.423,7.9097925
2015-06-01,6.40859,7.84209,13.47,4.382,8.02567
2015-07-01,6.32489,7.92288,12.89,4.33,7.8669425
2015-08-01,6.31502,7.75612,12.62,4.286,7.744285
2015-09-01,6.39077,7.96615,12.13,4.258,7.686229999999999
2015-10-01,6.20849,7.76435,12.36,4.213,7.6364600000000005
2015-11-01,6.08801,7.44595,11.41,4.208,7.287990000000001
2015-12-01,6.19127,7.3032,11.3,4.205,7.249867500000001
2016-01-01,6.16106,7.52769,11.36,4.131,7.2949375
2016-02-01,6.05931,7.40873,10.91,4.061,7.10976
2016-03-01,6.02939,7.54051,11.19,3.912,7.167975
2016-04-01,5.89955,7.35386,11.48,3.711,7.111102499999999
2016-05-01,5.84654,7.43735,11.22,3.614,7.0294725
2016-06-01,5.80758,7.34578,11.48,3.631,7.06609
2016-07-01,5.87455,7.23619,11.4,3.589,7.024934999999999
2016-08-01,5.91473,7.24617,10.73,3.539,6.857475000000001
2016-09-01,5.8636,7.12845,11.39,3.548,6.9825125
2016-10-01,5.81051,7.14333,11.02,3.563,6.8842099999999995
2016-11-01,5.71496,7.18721,10.74,3.55,6.7980425
2016-12-01,5.6636,7.03661,10.22,3.59,6.627552499999999
2017-01-01,5.61817,7.04483,11.43,3.594,6.92175
2017-02-01,5.62025,7.13985,11.71,3.673,7.035775000000001
2017-03-01,5.65634,6.90635,11.16,3.774,6.8741725
2017-04-01,5.65833,7.02251,10.99,3.814,6.87121
